"run_name","seed","data_seed","mask_ratio","patch_length","steps","masked_mse","epoch_time_sec"
"ms_patch_8_s11","11","11","0.4","8","20","0.3235654577612877","2.6357257999989088"
"ms_patch_8_s42","42","42","0.4","8","20","0.4190609365701675","2.589360100000704"
"ms_patch_8_s123","123","123","0.4","8","20","0.4374350354075432","2.623654400000305"
"ms_mask_0p2_s11","11","11","0.2","16","20","0.33269992768764495","1.619520399999601"
"ms_mask_0p2_s42","42","42","0.2","16","20","0.40213420540094375","1.4826749000003474"
"ms_mask_0p2_s123","123","123","0.2","16","20","0.3813521102070808","1.5629034000012325"
"ms_mask_0p4_s11","11","11","0.4","16","20","0.3338024064898491","1.4807635999986815"
"ms_mask_0p4_s42","42","42","0.4","16","20","0.40675370693206786","1.4714987999996083"
"ms_mask_0p4_s123","123","123","0.4","16","20","0.385114860534668","1.472948800001177"
"ms_mask_0p6_s11","11","11","0.6","16","20","0.3324190005660057","1.4828290999994351"
"ms_mask_0p6_s42","42","42","0.6","16","20","0.4060076981782913","1.4528839999984484"
"ms_mask_0p6_s123","123","123","0.6","16","20","0.3886278584599495","1.4568755000000237"
"ms_patch_32_s11","11","11","0.4","32","20","0.3572776079177856","0.8681323000000702"
"ms_patch_32_s42","42","42","0.4","32","20","0.39010955542325976","0.9026386999994429"
"ms_patch_32_s123","123","123","0.4","32","20","0.3478160619735718","0.9113849000004848"
